kabupaten_kota,Tahun,bawang_daun,bawang_merah,bawang_putih,bayam,buncis,cabai_besar,cabai_rawit,kacang_panjang,kangkung,kentang,tomat,wortel,luas_bawang_daun,luas_bawang_merah,luas_bayam,luas_buncis,luas_cabai_besar,luas_cabai_rawit,luas_kacang_panjang,luas_kangkung,luas_kentang,luas_tomat,luas_wortel
Kuningan,2022,36415.0,29111.0,0.0,0.0,1192.0,7469.0,10568.0,394.0,648.0,0.0,7636.0,3196.0,199.0,304.0,0.0,7.0,124.0,249.0,6.0,3.0,3.0,63.0,17.0
Kuningan,2023,33363.0,32079.0,0.0,0.0,1333.0,10300.0,14518.0,393.0,621.0,180.0,7918.0,3384.0,183.0,300.0,0.0,13.0,99.0,163.0,9.0,4.0,1.0,54.0,18.0
Kuningan,2024,31901.0,39563.0,0.0,0.0,528.0,5676.0,9184.0,158.0,324.0,1160.0,4231.0,2069.0,211.0,365.0,0.0,3.0,84.0,134.0,3.0,2.0,8.0,41.0,11.0
Majalengka,2019,92574.0,379731.0,5109.0,0.0,2059.0,124314.0,77828.0,14645.0,224.0,41932.0,32806.0,16598.0,627.5,2772.0,0.0,29.0,264.0,601.0,88.9,2.7,233.5,173.0,63.5
Majalengka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.5,2772.0,0.0,29.0,264.0,601.0,88.9,2.7,233.5,173.0,63.5
Majalengka,2021,98296.0,340683.0,0.0,0.0,4055.0,30469.0,88697.0,13760.0,0.0,56454.0,43583.0,19190.0,699.0,2873.0,0.0,25.0,235.0,673.0,90.0,2.7,329.0,221.0,112.0
Majalengka,2022,80019.0,333192.0,0.0,0.0,5514.0,30356.0,69776.0,6813.0,315.0,40794.0,14852.0,10928.0,556.0,2573.0,0.0,33.0,235.0,529.0,48.0,2.0,227.0,89.0,59.0
Majalengka,2023,39472.5,358111.76,570.0,0.0,1815.0,22566.0,45414.4,12283.0,1161.0,38608.0,35010.0,16304.0,329.0,2882.5,0.0,19.0,293.0,403.5,87.8,7.6,165.0,125.0,58.0
Majalengka,2024,107413.0,319782.5,584.0,0.0,8260.0,37889.3,62799.4,8344.4,290.15,60695.0,65941.5,13953.5,793.0,2671.0,0.0,54.0,653.0,765.0,91.0,2.7,240.0,249.0,68.0
Pangandaran,2019,866.0,115.0,0.0,310.0,964.0,3328.0,1063.0,1388.0,1257.0,100.0,899.0,0.0,6.0,6.0,2.5,10.0,40.0,33.5,30.0,31.5,0.0,7.0,0.0
Pangandaran,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.5,10.0,40.0,33.5,30.0,31.5,0.0,7.0,0.0
Pangandaran,2021,711.0,145.0,0.0,639.0,451.0,1912.0,2484.0,2472.0,1754.0,0.0,80.0,0.0,21.0,5.0,21.0,13.0,33.0,49.0,49.0,43.0,0.0,2.0,0.0
Pangandaran,2022,250.0,201.0,0.0,117.0,255.0,1625.0,1027.0,883.0,1155.0,0.0,275.0,0.0,6.0,4.0,4.0,7.0,32.0,15.0,19.0,33.0,0.0,5.0,0.0
Pangandaran,2023,254.0,494.0,0.0,34.0,0.0,2949.0,1349.0,1558.0,810.0,0.0,628.0,0.0,6.0,7.0,1.0,10.0,47.0,21.0,31.0,21.0,0.0,9.0,0.0
Pangandaran,2024,113.0,947.0,0.0,27.0,0.0,2265.0,2556.0,1133.0,1074.0,0.0,1470.0,0.0,3.0,23.0,1.0,10.0,49.0,46.0,29.0,30.0,0.0,29.0,0.0
Purwakarta,2019,8445.0,0.0,0.0,5948.0,20842.0,38755.0,35402.0,68860.0,20950.0,0.0,23427.0,145.0,85.0,19.25,82.5,66.7,104.05,168.25,251.4,166.05,0.0,91.6,3.0
Purwakarta,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,19.25,82.5,66.7,104.05,168.25,251.4,166.05,0.0,91.6,3.0
Purwakarta,2021,6880.0,1309.0,0.0,5837.0,10143.0,14413.0,22182.0,34119.0,17909.0,0.0,14779.0,365.0,85.0,40.0,105.0,79.0,99.0,153.0,284.0,192.0,0.0,88.0,4.0
Purwakarta,2022,7848.0,1364.0,0.0,3722.0,9165.0,25829.0,28152.0,26913.0,13719.0,0.0,14738.0,195.0,87.0,24.0,82.0,68.0,124.0,177.0,256.0,178.0,0.0,101.0,3.0
Purwakarta,2023,5369.0,629.0,0.0,4153.0,8503.0,15699.0,21881.7,23734.0,11721.4,0.0,12310.5,125.0,62.0,14.5,83.0,56.0,105.9,159.5,246.8,154.1,0.0,90.7,2.0
Purwakarta,2024,6801.5,75.0,0.0,1578.0,11708.3,19096.2,25384.3,28820.5,12290.3,0.0,14608.7,0.0,85.0,2.0,45.0,65.4,102.2,185.5,195.0,113.25,0.0,92.5,3.0
Subang,2019,3617.0,3758.0,2625.0,1402.0,41535.0,49963.0,33349.0,73846.0,5962.0,0.0,121433.0,0.0,76.5,55.5,0.0,163.0,187.5,182.0,275.0,39.0,2.0,167.0,0.0
Subang,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,55.5,0.0,163.0,187.5,182.0,275.0,39.0,2.0,167.0,0.0
Subang,2021,4753.0,8544.0,0.0,0.0,25460.0,25738.0,25509.0,74304.0,10230.0,0.0,67708.0,0.0,66.0,68.0,0.0,169.0,225.0,198.0,530.0,80.0,2.0,259.0,0.0
Subang,2022,3300.0,6758.0,0.0,0.0,31013.0,18417.0,31218.0,46126.0,7697.0,0.0,22428.0,0.0,50.0,74.0,0.0,225.0,187.0,166.0,334.0,31.0,2.0,174.0,0.0
Subang,2023,7128.0,4950.0,0.0,0.0,13502.0,21688.2,18061.0,39717.0,5205.5,200.0,15245.0,0.0,87.0,43.0,0.0,157.0,188.0,155.0,216.0,34.0,2.0,151.0,0.0
Subang,2024,1962.41,4235.6,0.0,0.0,6511.5,15126.0,15312.5,30576.0,7511.0,0.0,15702.1,0.0,96.0,35.0,0.0,151.0,186.0,207.0,200.0,44.0,2.0,160.0,0.0
Sukabumi,2019,55582.0,3550.0,2749.0,1496.0,92940.0,216741.0,113910.0,113741.0,7183.0,690.0,161484.0,23407.0,626.0,51.135000000000005,44.55,605.45,518.65,1347.5,787.0,55.0,1.55,797.0,221.975
Sukabumi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,51.135000000000005,44.55,605.45,518.65,1347.5,787.0,55.0,1.55,797.0,221.975
Sukabumi,2021,77890.0,10860.0,0.0,4213.0,124490.0,100794.0,138115.0,150188.0,13729.0,0.0,161926.0,41193.0,744.0,114.0,55.0,779.0,856.0,1168.0,944.0,57.0,1.55,797.0,225.0
Sukabumi,2022,83046.0,3329.0,0.0,1601.0,147492.0,106967.0,169819.0,165394.0,11760.0,200.0,196198.0,64181.0,708.0,47.0,47.0,847.0,675.0,1527.0,996.0,55.0,2.0,1044.0,327.0
Sukabumi,2023,69532.5,5231.0,0.0,1828.4,96641.2,76794.2,157859.1,130975.0,14866.0,252.0,201724.0,30014.0,626.0,55.27,44.55,605.45,518.65,1528.75,790.5,87.5,1.1,884.95,218.95
Sukabumi,2024,50987.0,3992.0,0.0,1641.45,51240.3,69632.0,167558.0,72132.42,12549.0,0.0,146839.0,16531.5,560.5,119.1,53.95,577.4,543.0,2096.4,787.0,135.5,1.55,869.8,117.92
Sumedang,2019,12293.0,3277.0,334.0,120.0,3929.0,50348.0,33241.0,23338.0,5485.0,11790.0,30718.0,158.0,140.5,81.0,8.5,80.0,141.5,386.0,147.5,36.0,53.0,382.0,1.0
Sumedang,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.5,81.0,8.5,80.0,141.5,386.0,147.5,36.0,53.0,382.0,1.0
Sumedang,2021,13776.0,5213.0,0.0,718.0,4053.0,9052.0,31077.0,25195.0,4598.0,10780.0,29203.0,140.0,149.0,59.0,11.0,46.0,84.0,291.0,209.0,40.0,56.0,263.0,2.0
Sumedang,2022,13623.0,7523.0,0.0,1043.0,7965.0,14280.0,35598.0,20640.0,4903.0,10511.0,42841.0,75.0,157.0,83.0,9.0,83.0,127.0,368.0,169.0,43.0,53.0,368.0,1.0
Sumedang,2023,11190.0,7020.0,0.0,667.0,7699.0,17919.44,42593.15,9029.95,3235.0,10543.0,48351.49,105.0,132.0,79.0,8.0,77.0,160.0,404.0,101.0,32.0,53.0,396.0,1.0
Sumedang,2024,10687.0,16357.75,0.0,341.0,9587.99,20672.87,63396.32,12758.2,2258.0,10643.0,62027.8,105.0,121.0,136.0,4.0,94.0,156.0,501.0,126.0,20.0,53.0,440.0,1.0
Tasikmalaya,2019,12338.0,1005.0,692.0,4023.0,20683.0,151832.0,28919.0,30332.0,9836.0,0.0,31764.0,20.0,210.6,5.15,82.5,133.20499999999998,346.65,183.655,154.65,129.5,0.0,139.19,10.0
Tasikmalaya,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.6,5.15,82.5,133.20499999999998,346.65,183.655,154.65,129.5,0.0,139.19,10.0
Tasikmalaya,2021,21351.0,1321.0,0.0,7973.0,32593.0,91063.0,26786.0,31884.0,13734.0,0.0,34819.0,914.0,278.0,23.0,179.0,408.0,851.0,372.0,405.0,259.0,0.0,360.0,13.0
Tasikmalaya,2022,20223.0,1223.0,0.0,6550.0,25349.0,70540.0,24373.0,22766.0,12996.0,0.0,27596.0,689.0,265.0,22.0,153.0,331.0,685.0,348.0,305.0,245.0,0.0,292.0,10.0
Tasikmalaya,2023,16008.31,472.0,0.0,7775.15,19193.71,63754.1,27677.01,23371.86,13917.56,0.0,24495.76,936.0,210.6,8.5,182.8,266.93,698.01,369.21,321.9,270.91,0.0,271.94,12.0
Tasikmalaya,2024,20736.12,298.55,0.0,8291.6,18554.7,60884.5,31474.71,21099.1,14890.06,0.0,25593.9,369.0,268.68,6.3,195.04,251.41,657.3,417.95,291.3,288.04,0.0,277.02,5.0
